tweet,id,date,time,username,replies_count,retweets_count,likes_count
@SenatorDurbin (D) and @LindseyGrahamSC (R) will introduce the #DREAMAct in the Senate. Stay tuned.,1110623491395645441,2019-03-26,19:24:09,reploucorrea,2,0,2
"Big news for our #BlueWaterNavy Veterans. A Federal court has ruled the @DeptVetAffairs cannot deny care to vets exposed to Agent Orange while serving at sea.

This opens the door for countless veterans to finally get the care they’re owed. https://twitter.com/LeoShane/status/1110545334302838784 …",1110574528252559360,2019-03-26,16:09:35,reploucorrea,5,7,22
"Transparency, transparency, transparency! 

The American people have a right to know what happened during the 2016 election. 

The Mueller Report must be made public. https://twitter.com/washingtonpost/status/1109198699316547584 …",1109210367308255233,2019-03-22,21:48:54,reploucorrea,65,117,480
"When a White Supremacist attacked and killed a protester in Charlottesville, I called for hearings. 

When a White Supremacist murdered worshipers at Tree of Life synagogue in Pittsburgh, I called for hearings. 

@HouseDemocrats will not ignore this threat. https://twitter.com/HomelandDems/status/1107332085507899398 …",1108059589860380677,2019-03-19,17:36:07,reploucorrea,9,49,123
"Congress voiced the will of the American people, and the President ignored it. Americans want real solutions—not campaign slogans. 👉🏾👉🏾👉🏾 https://www.latimes.com/politics/la-na-pol-trump-first-veto-border-emergency-disapproval-20190315-story.html …",1106654870625492992,2019-03-15,20:34:16,reploucorrea,5,3,13
"Across the United States, it is perfectly legal for an LBGTQ+ couple to marry on Sunday and be fired on Monday. #HR5 guarantees all Americans—regardless of orientation—are protected by the law. We can end discrimination together. #EqualityAct",1105923020131061760,2019-03-13,20:06:09,reploucorrea,2,9,22
"I strongly oppose @realDonaldTrump’s decision to ban transgender servicemembers from serving our nation. These patriots had the courage to stand up in defense of our country. Blocking them from service is discrimination, & betrays their service & dishonors their sacrifices.",1105917054341861377,2019-03-13,19:42:27,reploucorrea,3,3,17
"@realDonaldTrump’s Budget is bad for American.
✂️ $1.5 Trillion from Medicaid
✂️ $845 billion from Medicare
✂️ $25 billion from Social Security
🧨 the deficit by trillions of 💰",1105577375675355137,2019-03-12,21:12:41,reploucorrea,2,0,2
Today @HouseDemocrats kept our promise & introduced #HR6. This critical legislation gives #DREAMers a pathway to citizenship & finally offers hope for the hundreds of thousands of young immigrants contributing to our communities and economy.,1105563622959443968,2019-03-12,20:18:02,reploucorrea,9,6,25
For years @realDonaldTrump has told immigrants to apply for asylum and immigration “in their own country.” Now he’s closing @USCIS’s International Immigration Centers. Message received. https://twitter.com/crampell/status/1105520701224685570 …,1105556719277608975,2019-03-12,19:50:36,reploucorrea,3,38,35
