tweet,id,date,time,username,replies_count,retweets_count,likes_count
LETTER: Committee Chairs Question Rationale for Proposed NSC Climate Change Panel  https://armedservices.house.gov/index.cfm?p=press-releases&id=01A8D61A-8857-4BE1-96A1-AB3AB2B04B00 … pic.twitter.com/kT9ocvkArI,1101235331498737666,2019-02-28,21:38:57,hascdemocrats,0,11,8
Streaming LIVE this afternoon - hearing on Transgender Military Service Policy. Watch it here: https://youtu.be/cc2vqR8P4SY ,1100831703835312129,2019-02-27,18:55:05,hascdemocrats,0,6,5
"Streaming live now: Subcommittee hearing on ""Department of Defense Information Technology, Cybersecurity, and Information Assurance""   https://www.youtube.com/embed/KnhFw9jlNjg …",1100480255599493122,2019-02-26,19:38:33,hascdemocrats,1,0,5
"Streaming live today at 2pm ET - hearing on ""INF Withdrawal and the Future of Arms Control: Implications for the Security of the United States and its Allies"" https://youtu.be/jlJXRsjBsVo ",1100446689176027136,2019-02-26,17:25:10,hascdemocrats,0,1,5
"Streaming live today at 10am ET: Seapower & Readiness Subcommittees - ""Naval Surface Forces Readiness: Are Navy Reforms Adequate?"" https://youtu.be/pdvqcnT_6Ss ",1100395021021384704,2019-02-26,13:59:52,hascdemocrats,1,1,3
Chairman Smith and Chairman Yarmuth Denounce Trump Budget’s Planned Use of Massive Defense Budget Gimmick:  https://armedservices.house.gov/index.cfm?p=press-releases&id=D76B68D2-A1E9-44A0-AE8D-ED2CB0E8738E … @HouseBudgetDems @HASCDemocrats pic.twitter.com/pH4T59oJIy,1100108746380976128,2019-02-25,19:02:18,hascdemocrats,0,6,8
"SMITH, ENGEL & SCHIFF TO TRUMP: STOP WITHHOLDING INFORMATION ON NORTH KOREA FROM CONGRESS  https://armedservices.house.gov/press-releases?ID=A17F08BD-0619-49FE-B461-470C94AA1ADD … (Click here to see letter.)",1098710613633781761,2019-02-21,22:26:38,hascdemocrats,0,7,5
"The law is clear about this now, and we’re going to keep fighting to ensure that DOD is able to account for those dangers.",1098353353376047110,2019-02-20,22:47:00,hascdemocrats,0,2,9
".@RepAdamSmith: It is completely inappropriate for the administration to try to form a climate denial panel to try to cast doubt on the risks, and it could put us in a worse national security position where we’re not prepared for what is to come.",1098353322715738113,2019-02-20,22:46:53,hascdemocrats,0,6,10
"All manner of national security experts, Republican and Democratic alike, have recognized the empirical threat that climate change poses to our national security interests. Democrats got that fact enshrined into law a few years ago in the NDAA & President Trump signed it. ...",1098353066259238913,2019-02-20,22:45:52,hascdemocrats,0,5,10
"Watch - Trump Says Funds for Military Families and Military Readiness ""Didn't Sound Too Important to Me."" @CSPAN  http://www.c-span.org/video/?c4780631/trump-funds-military-families-didn …",1096467953413955585,2019-02-15,17:55:06,hascdemocrats,2,10,13
"The American people are utterly opposed to this gimmick, and President Trump should be ashamed of himself.",1096462201039278081,2019-02-15,17:32:14,hascdemocrats,2,8,16
"It is utterly disrespectful of U.S. national security and the needs of our men and women in uniform, and it further undermines his credibility in requesting the upcoming defense budget.",1096462122299678720,2019-02-15,17:31:55,hascdemocrats,2,41,111
"The President has decided to take tens of billions of dollars from projects that support the military and their families across the country and around the world to build his wall without Congressional approval, projects which he says ‘didn’t sound too important to me.’",1096462031929204736,2019-02-15,17:31:34,hascdemocrats,29,114,182
Smith Statement on President Trump’s Declaration of a National Emergency In Order to Take Funds Supporting Military Families and Military Readiness and Spend Them on His Wall  https://armedservices.house.gov/index.cfm?p=press-releases&id=57D28B22-3705-44BD-803D-A91803E5C364 … pic.twitter.com/LKSgWdsmYN,1096461732204199937,2019-02-15,17:30:22,hascdemocrats,0,4,6
".@realDonaldTrump on taking away money to support military families to spend on his wall: ""Those projects didn't sound too important to me.""",1096441402727239680,2019-02-15,16:09:35,hascdemocrats,4,11,18
..Providing our servicemembers and their families with the quality housing they deserve has always been a bipartisan priority for this Committee. Todays roundtable was an important part of our oversight of this issue and will help inform our next steps. Our work is not yet done.”,1096073090742784001,2019-02-14,15:46:03,hascdemocrats,0,5,6
“Today we heard directly from military families about the conditions in some privatized military housing. The concerns they raised about hazardous housing conditions are very troubling....,1096072959624704000,2019-02-14,15:45:32,hascdemocrats,1,8,12
Readiness Subcommittee Holds Military Family Housing Roundtable https://armedservices.house.gov/index.cfm?p=press-releases&id=A6D5A93F-B6BF-46E9-9A5E-6F08ACC6D0E3 …,1096072912044548096,2019-02-14,15:45:20,hascdemocrats,5,4,6
Livestreaming at 2pm today: Subcommittee Hearing on Military Service Academies’ Action Plans to Address the Results of Sexual Assault and Violence Report at the Military Service Academies - available here  https://armedservices.house.gov/hearings?ID=C4159314-DEA9-4BA1-BA01-6C2BAFEE6ED9 … and on C-SPAN:  https://www.c-span.org/video/?457867-1/house-armed-services-subcommittee-hearing-sexual-assault-military-service-academies …,1095734754907951104,2019-02-13,17:21:37,hascdemocrats,0,1,2
"""Senior officers are voicing greater worries that the deployed troops are not conducting the training needed for their regular missions, while other military units must now pick up the routine duties on behalf of their deployed colleagues.""  https://www.nytimes.com/2019/02/10/us/politics/trump-border-wall.html … pic.twitter.com/wa8RD2Pynu",1095330590084251648,2019-02-12,14:35:37,hascdemocrats,1,4,6
"I extend my sincere condolences to his family, friends, and all those whose lives have been affected by his service.”",1094893224005681152,2019-02-11,09:37:41,hascdemocrats,0,3,1
"During the twenty-four years he served in Congress, he was a tireless advocate for American servicemembers, someone who was always willing to put principle above partisanship, and a wonderful colleague.",1094893196646203392,2019-02-11,09:37:34,hascdemocrats,0,2,3
"“Walter Jones is no longer with us, but he has left an indelible imprint on the work of the House Armed Services Committee and on his country.",1094893156250906624,2019-02-11,09:37:25,hascdemocrats,0,4,10
"Hearing schedule updated for next week. One hearing postponed, and one subcommittee hearing rescheduled due to changes in the Congressional schedule:  https://armedservices.house.gov/hearings?ID=AEF0C1D9-EA56-4047-A5EC-044FC67EAAB6 … https://armedservices.house.gov/hearings?ID=C4159314-DEA9-4BA1-BA01-6C2BAFEE6ED9 …",1094010065248571394,2019-02-08,23:08:19,hascdemocrats,0,2,0
Cost of border deployments could approach $1 billion by end of fiscal year - The Washington Post https://www.washingtonpost.com/world/national-security/cost-of-border-deployments-could-approach-1-billion-by-end-of-fiscal-year/2019/02/06/8a246c34-2a41-11e9-b011-d8500644dc98_story.html …,1093576060397068288,2019-02-07,18:23:45,hascdemocrats,1,8,4
VIDEO: Military Says Trump is Wrong - Terrorists Are Not Coming to the Border. Watch it here - https://youtu.be/JeLD-s_4lSs?t=8706 …,1093200288431960065,2019-02-06,17:30:34,hascdemocrats,1,13,11
