tweet,id,date,time,username,replies_count,retweets_count,likes_count
Proud to join the Public Broadcasting Caucus with @repblumenauer and my fellow colleagues. Looking forward to supporting public broadcasting and learning best practices for bringing @PBS & @NPR back to the Rio Grande Valley. https://www.kveo.com/news/gonzalez-joins-public-broadcasting-caucus/ …,1144672143344582656,2019-06-28,18:21:20,repgonzalez,4,3,11
Proud to work with @RepDougCollins @PeterWelch @RepBuddyCarter & @RepMGriffith on bipartisan solutions to lower prescription drug prices and relieve community pharmacists from burdensome retroactive pharmacy direct and indirect remuneration (DIR) fees. #FixDIRDay,1144366382722822146,2019-06-27,22:06:21,repgonzalez,3,12,43
"BREAKING: #SCOTUS has ruled AGAINST adding the #CitizenshipQuestion to #Census2020. While we’ve been granted a victory today, it’s not over yet. This fight has stoked fear in our communities – all of us need to be counted as required by the Constitution, not just some.",1144262889164947456,2019-06-27,15:15:06,repgonzalez,16,38,73
"Proud to meet with talented young men & women, their parents and service members at our first-ever Service Day Academy event partnered with @utrgv. With so many passionate students and leaders, the future of #TX15 is bright. pic.twitter.com/G7sRroKLAc",1144229309541994496,2019-06-27,13:01:40,repgonzalez,0,1,9
"Last night, the House passed a $4.5B emergency border humanitarian aid package that will help with the chaos caused by @POTUS' obsession with building a wall & provide much needed relief for our border communities who are the on front lines of this issue. https://gonzalez.house.gov/media/press-releases/congressman-gonzalez-statement-house-passage-emergency-border-humanitarian-aid …",1143957286269980673,2019-06-26,19:00:45,repgonzalez,0,0,1
"*WEATHER WARNING* - Eastern Hidalgo, western Willacy, and western Cameron residents should be prepared this evening for flooding conditions to continue and potentially worsen. Be prepared, stay safe and share! 

 https://www.weather.gov/bro/ ",1143617388816076803,2019-06-25,20:30:07,repgonzalez,0,1,2
"Today @RepSteveStivers & I passed a bipartisan amendment to reduce the hiring time for immigration judges. While we cannot overhaul the system overnight, we need a solution to help address the backlog of immigration cases. Our amendment does just that. https://gonzalez.house.gov/media/press-releases/congressmen-gonzalez-and-stivers-include-amendment-must-pass-spending …",1143594034281271298,2019-06-25,18:57:19,repgonzalez,0,0,2
"Today, on the #LongestDay, we shed light on the devastating effects of #Alzheimers so that we can support patients and families impacted by this terrible disease. I am committed to helping #EndAlzheimers. https://www.alz.org/ ",1142145320375279616,2019-06-21,19:00:39,repgonzalez,0,0,3
It’s a tragic day for the @CityOfMissionTX My deepest condolences to the family of this Cpl. Joey “Speedy” Espericueta. My prayers are with you. We must do all we can to prevent senseless violence and crime in our community. #BackTheBlue pic.twitter.com/3cONVsqKs3,1142107479234555905,2019-06-21,16:30:17,repgonzalez,2,9,44
"Great to meet with officials from @PharrTx and discuss trade, tariffs, and border infrastructure. I value your input and am honored to work for the constituents of the 15th District of Texas. Safe travels back to the Valley! pic.twitter.com/z6ihKHTWhq",1142100496246812672,2019-06-21,16:02:32,repgonzalez,1,0,4
"I was delighted to have so many great constituents and local leaders from the Rio Grande Valley visit with @RepFilemonVela,@RepCuellar and I this week. It is an honor to serve the people of the 15th Congressional District and the people of Central and South Texas! pic.twitter.com/ccQHj3Dpc5",1141767925793210369,2019-06-20,18:01:01,repgonzalez,3,2,3
"On #WorldRefugeeDay, we acknowledge there is much to do in protecting refugees fleeing violence & persecution around the world. We need need to make sure that the rest of the world is doing their part to share the burden. Proud to be part of @HouseForeign and #StandWithRefugees. pic.twitter.com/1i7qxKI9Z6",1141752890786271232,2019-06-20,17:01:16,repgonzalez,3,2,3
"HEAT ADVISORY – be safe South Texas! A Heat Advisory is in effect for all of South Texas with heat indexes expected to range from 110 to 114. Drink plenty of fluids, stay in an air-conditioned room, stay out of the sun & check-up on relatives & neighbors. https://www.themonitor.com/2019/06/20/high-temps-continue-across-valley/ …",1141730002444148737,2019-06-20,15:30:19,repgonzalez,0,4,2
For too long the Rio Grande Valley has been underrepresented & undercounted in the U.S. Census. With the new regional census office opening in @HidalgoCounty we are ready! Proud to support @HouseDems bill mandating a fair and accurate count in the upcoming 2020 Census. pic.twitter.com/nkKRFmDSOb,1141707723572207618,2019-06-20,14:01:47,repgonzalez,1,4,5
"Today, we commemorate #Juneteenth. We must always remember the sacrifices our nation made to eradicate slavery & celebrate the progress we have made for racial equality. 

While we have made great strides, we still have much work to do. https://www.apnews.com/2cc89e3baa5b4fb9823abf60937a2d8d …",1141375627385348098,2019-06-19,16:02:09,repgonzalez,1,1,3
"With a @latinomuseum we can tell a richer, fuller story of America. With 30 million American Latinos across the country, I am proud to join my colleague @RepJoseSerrano as a sponsor of the National Museum of the American Latino Act. #LatinoMuseum pic.twitter.com/s1LT3WV0si",1141345222288392192,2019-06-19,14:01:20,repgonzalez,1,6,15
It is unacceptable that @ICEgov fails to follow their own policies & review military service records for immigrant veterans. Our vets put their lives on the line for us & are eligible for US Citizenship. ICE must stop deporting vets who served out country! http://bit.ly/2N3DwQi ,1141013074872344576,2019-06-18,16:01:30,repgonzalez,8,76,136
"As the leader of the free world, America has a moral responsibility to speak out against tyranny everywhere. We cannot ignore the #humanrights atrocities committed against the pro-democracy protesters. The U.S. stands with you and I #StandWithSudan. https://www.theguardian.com/world/2019/jun/14/sudan-military-admits-abuses-committed-in-khartoum-attack …",1139549699155857408,2019-06-14,15:06:34,repgonzalez,3,7,10
"I’m proud to support the @AppropsDems bill that will keep defense funds from being misappropriated for the President’s wasteful border wall. 
 
Instead, our @HouseDems bill will invest in service members & their families and give our troops a much needed pay raise. #ForThePeople pic.twitter.com/UTHR5eT3Ib",1138875589866246144,2019-06-12,18:27:54,repgonzalez,4,6,8
"For too long have the residents of Washington, D.C., been denied equal representation in Congress. It’s past time to recognize #DCStatehood and I’m proud to support H.R. 51 and my colleague @EleanorNorton. https://www.cnn.com/2019/05/30/politics/house-oversight-committee-dc-statehood-hearing/index.html …",1138858195865296896,2019-06-12,17:18:47,repgonzalez,5,18,79
Great piece by my colleague @RepMaloney: https://www.nydailynews.com/opinion/ny-oped-what-911-heroes-deserve-20190611-vfg5656u6fdczirjp57cu7aeoa-story.html …,1138463799927816194,2019-06-11,15:11:36,repgonzalez,0,5,4
