tweet,id,date,time,username,replies_count,retweets_count,likes_count
"We need better barriers, better technology and we need to change these very broken #immigration laws.@AmericaNewsroom pic.twitter.com/noni1ZF00j",1091115617992757248,2019-01-31,23:26:49,senronjohnson,67,22,84
Retaining top talent will be the main #cybersecurity goal for #HSGAC this year. I fear if we can’t keep cyber experts (who make 3x salary in the private sector) we won’t be able to defend against sophisticated hackers & protect critical infrastructure. https://www.washingtonpost.com/news/powerpost/paloma/the-cybersecurity-202/2019/01/31/the-cybersecurity-202-this-is-the-senate-homeland-security-committee-s-top-cyber-priority-this-year/5c51d8ce1b326b29c3778d1f/ …,1091073992750964736,2019-01-31,20:41:25,senronjohnson,36,8,26
Glad to see the @DeptVetAffairs release its new proposed standards for community and urgent care.  This is an important step in ensuring that the finest among us have access to the best care. #veterans https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5186 …,1090698258375237634,2019-01-30,19:48:23,senronjohnson,55,4,25
Wisconsin in the bullseye of #PolarVortex2019 tonight through Thursday.  Be safe and heed the warnings! https://twitter.com/ReadyWisconsin/status/1090249522264109057 …,1090382505025392648,2019-01-29,22:53:42,senronjohnson,35,11,28
Wisconsin in the bullseye of #PolarVortex2019 tonight through Thursday. Be safe and heed the warnings! https://twitter.com/HHSGov/status/1090357325322440704 …,1090380540602142720,2019-01-29,22:45:53,senronjohnson,6,6,13
Saddened to hear about @repgwenmoore’s cancer diagnosis. Keep up your brave fight! -rj,1090308563770245120,2019-01-29,17:59:53,senronjohnson,11,2,29
6 million murders.  On this #HolocaustMemorialDay we remember the innocent lives taken because of hate and bigotry. #WeRemember pic.twitter.com/HuedioxgrW,1089671077872222208,2019-01-27,23:46:44,senronjohnson,63,31,93
Honored to help this Green Bay soldier finally get a little bit of the recognition he earned in service to our country during the Vietnam War. https://www.wearegreenbay.com/news/positively-wisconsin/people-in-our-community/vietnam-veteran-recognized-for-service-with-the-help-of-fellow-vietnam-veteran/1724183210 …,1089210593343692800,2019-01-26,17:16:56,senronjohnson,42,18,105
"I don’t like shutdowns and I don’t like shutdown politics – it wastes money, hurts the economy, and harms real people. I hope we can come to a long-term solution to secure the border and keep the nation safe while funding the government. - rj",1088910195789651969,2019-01-25,21:23:16,senronjohnson,286,59,420
As we wrap up #SchoolChoiceWeek glad we could extend school choice for low-income families in DC on the 15th anniversary of the DC Opportunity Scholarship Program. It's about providing hope for a better future.  https://www.hsgac.senate.gov/media/majority-media/sens-johnson-feinstein-scott-introduce-legislation-to-extend-school-choice-options-for-low-income-minority-communities-during-national-school-choice-week … pic.twitter.com/hTRGGHqGZf,1088901288895631362,2019-01-25,20:47:52,senronjohnson,19,3,11
I applaud Athens & Skopje for peacefully resolving their naming dispute. It's a historic step that will result in greater stability and security in SE Europe. I look forward to welcoming North Macedonia as @NATO's 30th member. #PrespaAgreement 🇬🇷🇲🇰  https://www.ronjohnson.senate.gov/public/index.cfm/press-releases?ID=083E91B5-8A5D-4354-B8DE-8A271FFBBAA0 …,1088897584452767744,2019-01-25,20:33:09,senronjohnson,17,7,30
Paging passenger @SenSchumer? Please explain to your fellow New Yorkers why you blocked a bill to pay air traffic controllers yesterday. https://twitter.com/nypost/status/1088818463655804928 …,1088876352705626112,2019-01-25,19:08:47,senronjohnson,168,236,392
"Curious if @SenSchumer can make it back to New York this weekend? He could have avoided this yesterday, but instead played politics with people’s paychecks and blocked an attempt to pay all federal employees working during the shutdown, including the air traffic controllers. https://twitter.com/LGAairport/status/1088831661020655618 …",1088875691557433345,2019-01-25,19:06:09,senronjohnson,186,48,124
".@SenSchumer needs to explain why he thinks more than 400,000 federal workers, including air traffic controllers, should not be paid. Yesterday, he blocked an attempt to pass the Shutdown Fairness Act that would have paid them. It's unconscionable to make people work without pay. https://twitter.com/FAANews/status/1088822617342205952 …",1088845040418521088,2019-01-25,17:04:22,senronjohnson,223,174,284
I feel terrible for the air traffic controllers and the many other federal employees who have been working through the shutdown. It is unconscionable that we make people work without pay. #ShutdownFairnessAct,1088829314194382850,2019-01-25,16:01:52,senronjohnson,140,18,59
"Yesterday, @SenSchumer blocked a bill that would have paid air traffic controllers for their work during the shutdown. Senator Schumer could have prevented this, and he needs to explain why he thinks more than 400,000 federal workers should not be paid. https://thehill.com/homenews/news/426950-faa-halting-flights-into-laguardia#.XEsxMMLk290.twitter …",1088829312684490752,2019-01-25,16:01:52,senronjohnson,99,93,117
 https://twitter.com/senronjohnson/status/1088570606050775045?s=21 …,1088606118467825665,2019-01-25,01:14:58,senronjohnson,26,6,18
"Tried to pass my Shutdown Fairness Act this afternoon to pay federal workers who continue to come to work each day, but @SenSchumer objected. He's holding more than 400,000 people hostage. #ShutdownFairnessAct pic.twitter.com/W4RLXfVwNW",1088570606050775045,2019-01-24,22:53:51,senronjohnson,450,951,1159
Proud to introduce legislation today with @SenFeinstein @SenatorTimScott to extend school choice options to low-income families in the DC area. The @DCosp has helped students attain a graduation rate 21% higher than comparable students. #SchoolChoiceWeek https://www.hsgac.senate.gov/media/majority-media/sens-johnson-feinstein-scott-introduce-legislation-to-extend-school-choice-options-for-low-income-minority-communities-during-national-school-choice-week …,1088567114036903937,2019-01-24,22:39:59,senronjohnson,71,43,242
"Today we celebrate 15 years of the DC Opportunity Scholarship Program, providing #schoolchoice for low-income families in DC. #SchoolChoiceWeek",1088153843437920256,2019-01-23,19:17:47,senronjohnson,103,12,52
